
				Parsed Table

		Token						Type							Line Number

                 int                       Keyword                                                         2 3
                   (                    Punctuator                                                         2 7
                   )                    Punctuator                                                         2 7
                   {                    Punctuator                                                           2
                   ,                    Punctuator                                                       3 3 7
                   ;                    Punctuator                                                 3 4 5 6 7 8
                   =                      Operator                                                       4 5 6
                   +                      Operator                                                           6
        "Result: %d"                String Literal                                                           7
              return                       Keyword                                                           8
                   }                    Punctuator                                                           9
